dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.001414,0.141364,7.068182,353.409091,0.000000
0.020000,0.000000,0.000000,0.007068,0.424091,14.136364,353.409091,0.000000
0.020000,0.000000,0.000000,0.019791,0.848182,21.204545,353.409091,0.000000
0.020000,0.000000,0.000000,0.042409,1.413636,28.272727,353.409091,0.000000
0.020000,0.000000,0.000000,0.077750,2.120455,35.340909,353.409091,0.000000
0.020000,0.044641,0.000000,0.128641,2.968636,42.409091,353.409091,0.000000
0.020000,0.113909,0.000000,0.197909,3.958182,49.477273,353.409091,0.000000
0.020000,0.204382,0.000000,0.288382,5.089091,56.545455,353.409091,0.000000
0.020000,0.318886,0.000000,0.402886,6.361364,63.613636,353.409091,0.000000
0.020000,0.460250,0.000000,0.544250,7.775000,70.681818,353.409091,0.000000
0.020000,0.631300,0.000000,0.715300,9.330000,77.750000,353.409091,0.000000
0.020000,0.834864,0.000000,0.918864,11.026364,84.818182,353.409091,0.000000
0.020000,1.073768,0.000000,1.157768,12.864091,91.886364,353.409091,0.000000
0.020000,1.350841,0.000000,1.434841,14.843182,98.954545,353.409091,0.000000
0.020000,1.668909,0.000000,1.752909,16.963636,106.022727,353.409091,0.000000
0.020000,2.030800,0.000000,2.114800,19.225455,113.090909,353.409091,0.000000
0.020000,2.439341,0.000000,2.523341,21.628636,120.159091,353.409091,0.000000
0.020000,2.897359,0.000000,2.981359,24.173182,127.227273,353.409091,0.000000
0.020000,3.407682,0.000000,3.491682,26.859091,134.295455,353.409091,0.000000
0.020000,3.973136,0.000000,4.057136,29.686364,141.363636,353.409091,0.000000
0.020000,4.595136,0.000000,4.679136,32.513636,141.363636,0.000000,0.000000
0.020000,5.273682,0.000000,5.357682,35.340909,141.363636,0.000000,0.000000
0.020000,6.007359,0.000000,6.091359,38.026818,134.295455,-353.409091,0.000000
0.020000,6.793341,0.000000,6.877341,40.571364,127.227273,-353.409091,0.000000
0.020000,7.628800,0.000000,7.712800,42.974545,120.159091,-353.409091,0.000000
0.020000,8.510909,0.000000,8.594909,45.236364,113.090909,-353.409091,0.000000
0.020000,9.436841,0.000000,9.520841,47.356818,106.022727,-353.409091,0.000000
0.020000,10.403768,0.000000,10.487768,49.335909,98.954545,-353.409091,0.000000
0.020000,11.408864,0.000000,11.492864,51.173636,91.886364,-353.409091,0.000000
0.020000,12.449300,0.000000,12.533300,52.870000,84.818182,-353.409091,0.000000
0.020000,13.522250,0.000000,13.606250,54.425000,77.750000,-353.409091,0.000000
0.020000,14.624886,0.000000,14.708886,55.838636,70.681818,-353.409091,0.000000
0.020000,15.754382,0.000000,15.838382,57.110909,63.613636,-353.409091,0.000000
